agricultural sciences,engineering and technology,humanities,medical and health sciences,natural sciences,social sciences,ecMaxContribution,fundingScheme,duration,month,country,activityType,contributors,proportion_cost,split
0.0,0.0,0.0,0.0,3.0,0.0,1499950.0,HORIZON-ERC,1826,5,BE,HES,1,1.0,train
,,,,,,1499790.0,HORIZON-ERC,1825,1,AT,HES,1,1.0,train
,,,,,,1499455.0,HORIZON-ERC,1825,7,DE,HES,1,1.0,train
0.0,0.0,0.0,4.0,0.0,0.0,1500000.0,HORIZON-AG,1825,12,FR,REC,2,1.0,train
1.0,1.0,0.0,1.0,0.0,0.0,1370996.0,HORIZON-ERC,1825,6,PT,HES,1,1.0,train
0.0,0.0,0.0,2.0,1.0,0.0,1500000.0,HORIZON-ERC,1825,10,FR,REC,1,1.0,test
0.0,0.0,0.0,0.0,3.0,0.0,1500000.0,HORIZON-ERC,2191,4,FR,REC,1,1.0,train
0.0,0.0,0.0,0.0,1.0,1.0,1431711.0,HORIZON-AG,1825,12,NL,HES,1,1.0,train
0.0,0.0,0.0,1.0,4.0,0.0,1478373.0,HORIZON-ERC,1825,7,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,5.0,0.0,1425000.0,HORIZON-ERC,1825,9,DE,HES,2,1.0,test
0.0,0.0,2.0,0.0,1.0,2.0,1489506.0,HORIZON-ERC,1825,9,AT,HES,2,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1482750.0,HORIZON-ERC,1825,9,FR,REC,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,2097713.0,HORIZON-ERC,1826,3,IT,HES,2,1.0,train
0.0,0.0,0.0,1.0,1.0,0.0,1485413.0,HORIZON-ERC,1825,1,FI,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,1.0,1499230.0,ERC,1825,9,SE,HES,1,1.0,train
0.0,0.0,0.0,0.0,3.0,1.0,1500000.0,HORIZON-ERC,1825,5,DE,HES,1,1.0,train
0.0,2.0,0.0,0.0,2.0,0.0,1499525.0,HORIZON-ERC,1825,6,IE,HES,1,1.0,test
0.0,0.0,0.0,0.0,0.0,2.0,1499998.0,HORIZON-ERC,2038,9,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,2.0,1470849.0,HORIZON-ERC,1825,9,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1495755.0,HORIZON-ERC,1825,10,IT,HES,1,1.0,train
,,,,,,1393425.0,HORIZON-ERC,1825,9,IT,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1499423.0,HORIZON-ERC,1825,10,IT,HES,1,1.0,train
,,,,,,1500000.0,HORIZON-AG,1825,6,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,5.0,0.0,1498410.0,HORIZON-AG,1825,10,FR,REC,1,1.0,train
0.0,1.0,0.0,0.0,3.0,0.0,1875938.0,ERC,1825,1,SE,HES,2,1.0,train
0.0,1.0,0.0,0.0,2.0,0.0,1433750.0,HORIZON-AG,1825,9,IL,HES,1,1.0,test
1.0,0.0,0.0,1.0,2.0,0.0,1500000.0,HORIZON-ERC,1825,12,DE,REC,1,1.0,train
0.0,0.0,1.0,0.0,3.0,0.0,1499856.0,HORIZON-ERC,1825,9,ES,REC,1,1.0,train
0.0,0.0,0.0,0.0,2.0,1.0,1500000.0,HORIZON-ERC,1825,7,DE,HES,2,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1499930.0,HORIZON-ERC,1825,6,DE,HES,1,1.0,test
0.0,0.0,1.0,0.0,1.0,0.0,1499948.0,HORIZON-ERC,1825,8,DK,HES,1,1.0,train
0.0,2.0,0.0,0.0,1.0,0.0,1499375.0,HORIZON-AG,1825,9,AT,HES,2,1.0,train
0.0,0.0,0.0,0.0,4.0,0.0,1498619.0,HORIZON-ERC,1825,7,ES,HES,2,1.0,train
,,,,,,1799250.0,HORIZON-ERC,1825,11,ES,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,1.0,1351125.0,HORIZON-ERC,1825,10,FR,REC,1,1.0,test
0.0,0.0,0.0,0.0,1.0,0.0,1495050.0,HORIZON-ERC,1825,2,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1485852.0,HORIZON-ERC,2069,1,FR,REC,2,0.991657501041144,train
0.0,0.0,0.0,0.0,2.0,0.0,1268106.0,ERC,1825,3,IT,HES,1,1.0,train
0.0,0.0,0.0,2.0,2.0,0.0,1498364.0,HORIZON-ERC,2130,1,NL,HES,2,1.0,train
,,,,,,1392265.0,HORIZON-ERC,1825,6,IT,HES,1,1.0,train
0.0,0.0,0.0,1.0,1.0,0.0,1748906.0,HORIZON-ERC,1825,1,NL,REC,1,1.0,train
0.0,1.0,0.0,0.0,0.0,0.0,1280750.0,HORIZON-ERC,1825,10,FR,REC,1,1.0,test
1.0,1.0,0.0,0.0,2.0,0.0,1498859.0,HORIZON-ERC,1825,11,BE,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1498624.0,HORIZON-ERC,1825,5,DE,HES,1,1.0,train
0.0,2.0,0.0,0.0,0.0,0.0,1609470.0,HORIZON-ERC,1825,10,IL,HES,1,1.0,train
0.0,0.0,0.0,0.0,0.0,1.0,1499930.0,HORIZON-AG,1825,9,FR,REC,1,1.0,test
1.0,0.0,0.0,0.0,0.0,0.0,2364101.0,HORIZON-ERC,1825,5,NL,HES,1,1.0,train
0.0,1.0,0.0,0.0,4.0,0.0,1500000.0,HORIZON-AG,1825,1,DE,HES,1,1.0,test
0.0,0.0,0.0,1.0,1.0,0.0,1954308.0,HORIZON-ERC,1825,10,IT,HES,1,1.0,test
0.0,0.0,1.0,0.0,4.0,0.0,1499899.0,HORIZON-ERC,1826,7,AT,HES,1,1.0,test
0.0,0.0,0.0,0.0,2.0,0.0,1488649.0,HORIZON-AG,1825,6,DE,REC,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1499985.0,HORIZON-ERC,1825,6,FR,HES,2,1.0,train
0.0,0.0,0.0,0.0,4.0,0.0,1499971.0,HORIZON-ERC,1825,3,NO,HES,1,1.0,train
0.0,0.0,1.0,0.0,1.0,0.0,1498885.0,HORIZON-ERC,1825,6,IE,HES,1,1.0,train
,,,,,,1498784.0,HORIZON-ERC,1825,6,IT,HES,1,1.0,train
0.0,0.0,1.0,0.0,0.0,0.0,1493680.0,ERC,1825,8,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1499821.0,HORIZON-ERC,1825,7,IL,HES,1,1.0,test
0.0,0.0,0.0,0.0,1.0,0.0,1439413.0,HORIZON-ERC,1825,7,IL,HES,1,1.0,test
0.0,0.0,2.0,0.0,2.0,0.0,1498778.0,HORIZON-AG,1825,9,NL,HES,1,1.0,train
0.0,0.0,0.0,1.0,3.0,0.0,1499361.0,HORIZON-ERC,1825,2,IL,HES,1,1.0,test
0.0,1.0,0.0,0.0,1.0,0.0,1651868.0,HORIZON-ERC,1825,4,IL,HES,1,1.0,train
0.0,0.0,0.0,4.0,1.0,0.0,1499375.0,HORIZON-ERC,1825,9,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1992500.0,HORIZON-ERC,1825,10,FR,REC,1,1.0,train
,,,,,,1500000.0,HORIZON-ERC,1825,9,IL,HES,1,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1583643.75,HORIZON-AG,1825,8,DE,HES,1,1.0,train
0.0,0.0,0.0,1.0,2.0,0.0,1497500.0,HORIZON-ERC,1825,1,FR,REC,1,1.0,test
0.0,0.0,0.0,2.0,1.0,0.0,1498280.0,HORIZON-ERC,1825,4,FR,REC,1,1.0,train
0.0,0.0,0.0,0.0,1.0,3.0,1497749.0,HORIZON-ERC,1825,12,DE,REC,2,1.0,test
0.0,1.0,1.0,0.0,1.0,0.0,1500000.0,HORIZON-AG,1825,5,IL,HES,1,1.0,train
0.0,0.0,0.0,1.0,1.0,0.0,1500000.0,HORIZON-ERC,1825,6,NL,REC,1,1.0,test
0.0,0.0,0.0,0.0,5.0,0.0,1486875.0,HORIZON-AG,1825,7,EL,REC,1,1.0,train
,,,,,,1500000.0,HORIZON-ERC,1825,7,DE,HES,2,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1497050.0,HORIZON-ERC,1825,9,BE,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1920260.0,HORIZON-ERC,1825,9,IT,HES,1,1.0,train
0.0,1.0,0.0,0.0,2.0,0.0,1499153.0,HORIZON-ERC,1825,1,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1447091.25,HORIZON-ERC,1825,9,DE,REC,1,1.0,train
0.0,0.0,0.0,4.0,1.0,0.0,1499625.0,HORIZON-ERC,1825,3,ES,REC,1,1.0,train
0.0,0.0,3.0,0.0,1.0,1.0,1437776.0,HORIZON-ERC,1825,9,BE,HES,1,1.0,test
0.0,0.0,0.0,0.0,3.0,0.0,1499993.0,HORIZON-ERC,1825,7,DK,HES,1,0.999997333328,train
0.0,0.0,0.0,0.0,1.0,0.0,1975955.0,HORIZON-AG,1825,10,CZ,HES,1,1.0,train
0.0,0.0,1.0,0.0,1.0,2.0,1895277.5,HORIZON-ERC,1825,1,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,0.0,5.0,1498855.0,ERC,1825,10,DE,HES,1,1.0,test
0.0,0.0,0.0,0.0,1.0,0.0,1500000.0,HORIZON-ERC,1825,9,BE,HES,1,1.0,train
0.0,1.0,0.0,0.0,1.0,0.0,1686875.0,HORIZON-ERC,1825,6,NL,REC,1,1.0,train
0.0,0.0,0.0,0.0,0.0,1.0,1191561.0,HORIZON-ERC,1825,7,PL,REC,1,1.0,train
0.0,1.0,0.0,0.0,0.0,0.0,1500000.0,HORIZON-ERC,1825,10,IL,HES,1,1.0,train
0.0,0.0,0.0,0.0,0.0,2.0,1445535.0,HORIZON-ERC,1825,8,DE,HES,1,1.0,train
0.0,0.0,0.0,1.0,4.0,0.0,1449750.0,HORIZON-ERC,1825,9,FR,REC,1,1.0,train
0.0,0.0,1.0,0.0,0.0,0.0,1499625.0,HORIZON-ERC,1825,10,PL,HES,1,1.0,train
0.0,2.0,0.0,0.0,2.0,0.0,2263750.0,ERC,1825,1,DK,HES,1,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1380760.0,HORIZON-ERC,1825,10,PL,HES,1,1.0,train
0.0,0.0,0.0,0.0,0.0,2.0,1499605.0,HORIZON-ERC,1826,4,DE,HES,2,1.0,train
0.0,0.0,0.0,0.0,2.0,1.0,1500000.0,HORIZON-ERC,1825,7,PL,HES,1,1.0,train
0.0,0.0,0.0,0.0,4.0,0.0,1999711.0,HORIZON-ERC,1825,11,IS,HES,2,1.0,train
,,,,,,1499845.0,HORIZON-ERC,1825,2,DE,HES,1,1.0,train
0.0,1.0,0.0,0.0,3.0,0.0,2275797.5,HORIZON-AG,1825,8,IL,HES,1,1.0,test
0.0,0.0,0.0,2.0,0.0,1.0,1500000.0,HORIZON-ERC,1825,5,NO,HES,1,1.0,test
0.0,0.0,0.0,0.0,1.0,0.0,2345000.0,HORIZON-ERC,1826,10,ES,HES,1,1.0,train
0.0,1.0,0.0,0.0,4.0,0.0,1499754.0,HORIZON-ERC,1826,6,IT,HES,1,1.0,train
0.0,0.0,0.0,1.0,2.0,0.0,1498750.0,HORIZON-ERC,1825,9,DE,HES,2,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1199519.0,HORIZON-AG,1825,9,IT,HES,1,1.0,train
0.0,1.0,0.0,0.0,0.0,0.0,1499651.0,HORIZON-ERC,1825,7,DE,HES,1,1.0,train
0.0,0.0,0.0,2.0,0.0,0.0,1499494.0,HORIZON-ERC,1825,7,FI,HES,1,1.0,train
,,,,,,1500000.0,HORIZON-ERC,1825,5,NL,HES,1,1.0,train
,,,,,,1227455.0,HORIZON-ERC,1825,1,FR,REC,3,1.0,train
0.0,0.0,0.0,0.0,2.0,1.0,1800000.0,HORIZON-ERC,1825,7,IL,REC,1,1.0,train
0.0,0.0,0.0,0.0,0.0,1.0,1500000.0,HORIZON-ERC,1826,1,IE,HES,1,1.0,train
,,,,,,1499988.0,HORIZON-ERC,1825,9,NL,HES,1,1.0,train
0.0,0.0,1.0,2.0,1.0,1.0,1499379.0,HORIZON-AG,1825,9,AT,HES,1,1.0,train
0.0,0.0,1.0,0.0,0.0,1.0,1190125.0,ERC,1825,9,IT,HES,2,1.0,train
0.0,0.0,0.0,0.0,5.0,0.0,1500000.0,HORIZON-ERC,1825,1,PL,HES,1,1.0,train
0.0,2.0,0.0,0.0,1.0,1.0,1450931.0,HORIZON-AG,1825,9,DE,REC,1,1.0,train
0.0,0.0,0.0,1.0,4.0,0.0,1462491.0,HORIZON-ERC,1825,4,DK,HES,1,1.0,train
0.0,0.0,0.0,4.0,1.0,0.0,1498813.0,HORIZON-ERC,1825,5,DE,HES,1,1.0,test
0.0,0.0,0.0,0.0,5.0,0.0,1496142.5,HORIZON-ERC,1825,10,FR,REC,1,1.0,test
0.0,0.0,1.0,2.0,0.0,0.0,1025860.0,HORIZON-ERC,1826,4,BE,HES,1,1.0,test
0.0,1.0,0.0,2.0,2.0,0.0,1500000.0,HORIZON-ERC,1825,4,NL,HES,1,1.0,test
0.0,0.0,0.0,0.0,2.0,0.0,1500000.0,HORIZON-ERC,1825,6,IL,HES,1,1.0,train
0.0,2.0,0.0,0.0,1.0,0.0,1487500.0,HORIZON-ERC,1825,4,ES,HES,1,1.0,train
,,,,,,1498969.0,HORIZON-ERC,1825,10,FR,REC,2,1.0,test
0.0,0.0,0.0,2.0,3.0,0.0,2499579.0,HORIZON-ERC,1825,4,IT,HES,2,1.0,train
0.0,0.0,0.0,2.0,1.0,0.0,1499625.0,HORIZON-ERC,1825,10,FR,REC,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1498590.0,HORIZON-ERC,1825,10,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1498750.0,HORIZON-ERC,1825,1,DE,HES,2,1.0,test
1.0,0.0,0.0,2.0,1.0,1.0,1499988.0,HORIZON-ERC,1825,9,DE,HES,1,1.0,train
0.0,0.0,1.0,0.0,0.0,0.0,1499477.5,HORIZON-ERC,1825,10,DE,HES,1,1.0,train
0.0,0.0,0.0,1.0,4.0,0.0,1426714.0,HORIZON-ERC,1856,1,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1451069.0,HORIZON-ERC,1825,6,FR,REC,1,1.0,test
1.0,1.0,0.0,1.0,2.0,0.0,1499791.0,HORIZON-ERC,1825,7,PT,REC,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1485013.0,HORIZON-ERC,1825,5,DE,REC,1,1.0,train
0.0,0.0,1.0,0.0,0.0,2.0,1499877.5,HORIZON-ERC,1825,1,IT,HES,4,1.0,test
0.0,0.0,2.0,0.0,1.0,1.0,1472313.0,HORIZON-ERC,1825,9,FR,REC,1,1.0,test
0.0,0.0,0.0,0.0,2.0,0.0,1500000.0,HORIZON-ERC,1825,10,FR,HES,1,1.0,train
0.0,0.0,0.0,2.0,0.0,0.0,1496821.0,HORIZON-ERC,1825,10,LU,REC,1,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1079579.0,HORIZON-ERC,1825,9,FR,REC,1,1.0,test
0.0,0.0,0.0,1.0,4.0,0.0,1496500.0,HORIZON-ERC,1825,10,FR,REC,1,1.0,train
,,,,,,1500000.0,HORIZON-ERC,1825,1,NL,HES,1,1.0,train
0.0,0.0,2.0,0.0,0.0,0.0,1493753.0,HORIZON-AG,1825,9,IT,HES,1,1.0,train
0.0,1.0,0.0,0.0,3.0,0.0,1500000.0,HORIZON-ERC,1825,4,DE,HES,1,1.0,train
0.0,0.0,0.0,2.0,1.0,0.0,1498372.0,HORIZON-ERC,1825,10,DE,REC,1,1.0,train
0.0,2.0,0.0,0.0,3.0,0.0,2497138.0,HORIZON-ERC,1825,11,NL,HES,1,1.0,train
0.0,0.0,0.0,3.0,0.0,0.0,1499265.0,HORIZON-ERC,1825,5,BE,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1462710.0,ERC,1825,6,IT,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1499798.75,HORIZON-ERC,1825,7,NL,REC,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1499176.0,HORIZON-ERC,1825,12,FR,REC,1,1.0,train
0.0,0.0,0.0,1.0,3.0,0.0,1500000.0,HORIZON-ERC,1825,1,DK,HES,2,1.0,train
0.0,1.0,0.0,0.0,1.0,0.0,1346126.0,HORIZON-ERC,1825,6,DE,HES,1,1.0,test
,,,,,,1484125.0,HORIZON-ERC,1825,10,IL,HES,1,1.0,train
0.0,2.0,0.0,0.0,3.0,0.0,1500000.0,HORIZON-AG,1825,5,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,2474375.0,ERC,1826,6,IT,HES,2,1.0,train
0.0,0.0,0.0,2.0,0.0,0.0,1500000.0,HORIZON-ERC,1825,9,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1498500.0,HORIZON-ERC,1825,2,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1500000.0,HORIZON-ERC,1825,7,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1384543.0,HORIZON-ERC,1825,10,FR,REC,1,1.0,train
1.0,1.0,0.0,0.0,3.0,0.0,1788003.0,HORIZON-AG,1825,9,DE,HES,1,1.0,train
0.0,0.0,0.0,5.0,0.0,0.0,1783319.0,HORIZON-AG,1825,4,DE,HES,1,1.0,train
,,,,,,1485042.5,HORIZON-ERC,1825,5,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1492753.0,HORIZON-ERC,1825,8,FR,REC,1,1.0,train
0.0,1.0,0.0,0.0,2.0,0.0,1026250.0,HORIZON-ERC,1825,9,IT,HES,1,1.0,train
0.0,0.0,0.0,0.0,0.0,1.0,1499500.0,HORIZON-ERC,1825,10,BE,HES,2,1.0,train
0.0,0.0,0.0,0.0,1.0,1.0,1500000.0,HORIZON-AG,1825,7,DE,REC,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1104218.75,HORIZON-ERC,1825,9,IT,HES,1,1.0,train
0.0,0.0,0.0,0.0,4.0,0.0,1393312.5,HORIZON-AG,1825,4,FR,REC,1,1.0,test
0.0,0.0,0.0,0.0,2.0,0.0,1492004.0,HORIZON-ERC,1825,6,IT,HES,1,1.0,test
0.0,0.0,0.0,0.0,3.0,0.0,1500000.0,HORIZON-ERC,1825,9,BE,HES,1,1.0,test
0.0,0.0,0.0,0.0,1.0,0.0,1499536.0,HORIZON-ERC,1825,1,DE,HES,1,0.9999998332817897,test
0.0,0.0,0.0,0.0,0.0,3.0,1455750.0,HORIZON-AG,1825,3,FR,HES,1,1.0,train
,,,,,,1479205.0,HORIZON-ERC,2008,4,DE,REC,1,1.0,test
0.0,1.0,0.0,0.0,1.0,0.0,1856793.0,HORIZON-ERC,1825,9,PT,HES,1,1.0,train
0.0,0.0,0.0,0.0,0.0,1.0,1499206.0,HORIZON-ERC,1825,11,BE,HES,2,1.0,train
0.0,1.0,0.0,0.0,0.0,0.0,1456652.5,ERC,1825,1,BE,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1499991.0,HORIZON-ERC,1825,9,NL,HES,1,1.0,train
0.0,2.0,0.0,0.0,2.0,0.0,1492968.0,ERC,1826,5,DE,REC,2,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1500000.0,HORIZON-ERC,1825,5,DE,HES,1,1.0,train
0.0,0.0,0.0,2.0,3.0,0.0,1500000.0,HORIZON-ERC,1825,5,DE,HES,2,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1409163.0,HORIZON-AG,1825,4,DE,HES,1,1.0,train
0.0,0.0,2.0,0.0,0.0,0.0,1194088.75,ERC,1825,1,NL,HES,1,1.0,train
0.0,0.0,1.0,0.0,0.0,1.0,1500000.0,HORIZON-ERC,1826,4,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,0.0,1.0,1784229.0,HORIZON-ERC,1825,9,NO,HES,1,1.0,train
0.0,1.0,0.0,2.0,2.0,0.0,1750000.0,HORIZON-AG,1825,6,IE,HES,1,1.0,train
0.0,1.0,0.0,3.0,1.0,0.0,1496395.0,HORIZON-AG,1825,4,DE,REC,1,1.0,train
0.0,0.0,0.0,0.0,0.0,2.0,1500000.0,HORIZON-AG,1825,7,NO,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1306637.0,ERC,1825,5,IT,HES,1,1.0,train
0.0,2.0,0.0,0.0,0.0,0.0,1436088.0,HORIZON-AG,1825,4,FR,HES,2,1.0,train
0.0,2.0,0.0,3.0,0.0,0.0,1488762.5,HORIZON-ERC,1825,7,DE,HES,1,1.0,train
0.0,0.0,1.0,0.0,0.0,0.0,1499773.0,HORIZON-ERC,1825,1,SE,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,2320575.0,HORIZON-ERC,1825,9,NO,HES,1,1.0,train
,,,,,,1459763.0,HORIZON-ERC,1825,12,DE,HES,1,1.0,train
0.0,1.0,0.0,0.0,4.0,0.0,1153125.0,HORIZON-AG,1825,11,IT,HES,1,1.0,train
